-89.85 -7 1920 1800 928 928
-81.23247	-0.11852 0	10000	10000	30	15	118	2500
-81.18477	-0.04182 0	10000	10000	30	15	118	2500
-81.13717	0.03478	0	10000	10000	30	15	118	2500
-81.08957	0.11148	0	10000	10000	30	15	118	2500
-81.04187	0.18818	0	10000	10000	30	15	118	2500
-80.99427	0.26488	0	10000	10000	30	15	118	2500
-80.94667	0.34158	0	10000	10000	30	15	118	2500
-80.89897	0.41828	0	10000	10000	30	15	118	2500
-80.85137	0.49498	0	10000	10000	30	15	118	2500
-80.80377	0.57168	0	10000	10000	30	15	118	2500
-80.75607	0.64838	1.2	10000	10000	30	15	118	2500
-80.70847	0.72508	1.1	10000	10000	30	15	118	2500
-80.66087	0.80178	0	10000	10000	30	15	118	2500
-80.61317	0.87848	0.8	10000	10000	30	15	118	2500
-80.56557	0.95518	0.6	10000	10000	30	15	118	2500
-80.51797	1.03188	0.3	10000	10000	30	15	118	2500
-80.47027	1.10858	0.3	10000	10000	30	15	118	2500
-80.42267	1.18518	0.4	10000	10000	30	15	118	2500
-80.37507	1.26188	0.5	10000	10000	30	15	118	2500
-80.32737	1.33858	0.4	10000	10000	30	15	118	2500
-80.27977	1.41528	0.3	10000	10000	30	15	118	2500
-80.23217	1.49198	0.2	10000	10000	30	15	118	2500
-80.18447	1.56868	0	10000	10000	30	15	118	2500
-80.13687	1.64538	0.1	10000	10000	30	15	118	2500
-80.08927	1.72208	0.3	10000	10000	30	15	118	2500
-80.04157	1.79878	0	10000	10000	30	15	118	2500
-79.99397	1.87548	0	10000	10000	30	15	118	2500
-79.94637	1.95218	0	10000	10000	30	15	118	2500
-79.89867	2.02888	0	10000	10000	30	15	118	2500
-79.85107	2.10558	0	10000	10000	30	15	118	2500
-79.80347	2.18228	0	10000	10000	30	15	118	2500
-79.75577	2.25898	0	10000	10000	30	15	118	2500
-79.70817	2.33568	0	10000	10000	30	15	118	2500
-79.66057	2.41238	0	10000	10000	30	15	118	2500
-79.61287	2.48898	0	10000	10000	30	15	118	2500
-79.56527	2.56568	0	10000	10000	30	15	118	2500
-79.51767	2.64238	0	10000	10000	30	15	118	2500
-79.46997	2.71908	0	10000	10000	30	15	118	2500
-79.42237	2.79578	0	10000	10000	30	15	118	2500
-79.37477	2.87248	0	10000	10000	30	15	118	2500
-79.32707	2.94918	0	10000	10000	30	15	118	2500
-79.27947	3.02588	0	10000	10000	30	15	118	2500
-79.23187	3.10258	0	10000	10000	30	15	118	2500
-79.18417	3.17928	0	10000	10000	30	15	118	2500
-79.13657	3.25598	0	10000	10000	30	15	118	2500
-79.08897	3.33268	0	10000	10000	30	15	118	2500
-79.04127	3.40938	0	10000	10000	30	15	118	2500
-78.99367	3.48608	0	10000	10000	30	15	118	2500
-78.94607	3.56278	0	10000	10000	30	15	118	2500
-78.89837	3.63938	0	10000	10000	30	15	118	2500
-78.85077	3.71608	0	10000	10000	30	15	118	2500
-78.80317	3.79278	0	10000	10000	30	15	118	2500
-78.75547	3.86948	0	10000	10000	30	15	118	2500
-78.70787	3.94618	0	10000	10000	30	15	118	2500
-78.66027	4.02288	0	10000	10000	30	15	118	2500
-78.61257	4.09958	0	10000	10000	30	15	118	2500
-78.56497	4.17628	0	10000	10000	30	15	118	5100
-81.15877	-0.16482 0.2	10000	10000	30	15	118	5100
-81.11117	-0.08812 0.3	10000	10000	30	15	118	5100
-81.06357	-0.01152 0.7	10000	10000	30	15	118	5100
-81.01587	0.06518	0.9	10000	10000	30	15	118	5100
-80.96827	0.14188	0.7	10000	10000	30	15	118	5100
-80.92067	0.21858	0.5	10000	10000	30	15	118	5100
-80.87297	0.29528	0.6	10000	10000	30	15	118	5100
-80.82537	0.37198	1.2	10000	10000	30	15	118	5100
-80.77777	0.44868	2	10000	10000	30	15	118	5100
-80.73007	0.52538	2.8	10000	10000	30	15	118	5100
-80.68247	0.60208	3.2	10000	10000	30	15	118	5100
-80.63487	0.67878	3.1	10000	10000	30	15	118	5100
-80.58717	0.75548	2.8	10000	10000	30	15	118	5100
-80.53957	0.83218	2.6	10000	10000	30	15	118	5100
-80.49197	0.90888	2.1	10000	10000	30	15	118	5100
-80.44427	0.98558	1.5	10000	10000	30	15	118	5100
-80.39667	1.06228	1.4	10000	10000	30	15	118	5100
-80.34907	1.13898	1.5	10000	10000	30	15	118	5100
-80.30137	1.21568	1.4	10000	10000	30	15	118	5100
-80.25377	1.29238	1.2	10000	10000	30	15	118	5100
-80.20617	1.36898	1	10000	10000	30	15	118	5100
-80.15847	1.44568	0.8	10000	10000	30	15	118	5100
-80.11087	1.52238	0.7	10000	10000	30	15	118	5100
-80.06327	1.59908	0.8	10000	10000	30	15	118	5100
-80.01557	1.67578	1.3	10000	10000	30	15	118	5100
-79.96797	1.75248	1.8	10000	10000	30	15	118	5100
-79.92037	1.82918	2.1	10000	10000	30	15	118	5100
-79.87267	1.90588	0	10000	10000	30	15	118	5100
-79.82507	1.98258	0	10000	10000	30	15	118	5100
-79.77747	2.05928	1.4	10000	10000	30	15	118	5100
-79.72977	2.13598	0	10000	10000	30	15	118	5100
-79.68217	2.21268	0	10000	10000	30	15	118	5100
-79.63457	2.28938	0	10000	10000	30	15	118	5100
-79.58687	2.36608	0	10000	10000	30	15	118	5100
-79.53927	2.44278	0	10000	10000	30	15	118	5100
-79.49167	2.51938	0	10000	10000	30	15	118	5100
-79.44397	2.59608	0	10000	10000	30	15	118	5100
-79.39637	2.67278	0	10000	10000	30	15	118	5100
-79.34877	2.74948	0	10000	10000	30	15	118	5100
-79.30107	2.82618	0	10000	10000	30	15	118	5100
-79.25347	2.90288	0	10000	10000	30	15	118	5100
-79.20587	2.97958	0	10000	10000	30	15	118	5100
-79.15817	3.05628	0	10000	10000	30	15	118	5100
-79.11057	3.13298	0	10000	10000	30	15	118	5100
-79.06297	3.20968	0	10000	10000	30	15	118	5100
-79.01527	3.28638	0	10000	10000	30	15	118	5100
-78.96767	3.36308	0	10000	10000	30	15	118	5100
-78.92007	3.43978	0	10000	10000	30	15	118	5100
-78.87237	3.51648	0	10000	10000	30	15	118	5100
-78.82477	3.59318	0	10000	10000	30	15	118	5100
-78.77717	3.66988	0	10000	10000	30	15	118	5100
-78.72947	3.74658	0	10000	10000	30	15	118	5100
-78.68187	3.82318	0	10000	10000	30	15	118	5100
-78.63427	3.89988	0	10000	10000	30	15	118	5100
-78.58657	3.97658	0	10000	10000	30	15	118	5100
-78.53897	4.05328	0	10000	10000	30	15	118	5100
-78.49137	4.12998	0	10000	10000	30	15	118	7700
-81.08517	-0.21112 1.5	10000	10000	30	15	118	7700
-81.03757	-0.13442 1.8	10000	10000	30	15	118	7700
-80.98987	-0.05772 2.5	10000	10000	30	15	118	7700
-80.94227	0.01898	2.9	10000	10000	30	15	118	7700
-80.89467	0.09558	2.5	10000	10000	30	15	118	7700
-80.84697	0.17228	2	10000	10000	30	15	118	7700
